name,count,type,is_ambiguous
akashio_(loli_ace),634,artist,False
akatsuki_(aktk511),61,artist,False
akatsuki_kirika,1978,character,False
akaya_shiki,144,artist,False
akaza_akari,2201,character,False
ake_blood,4,general,False
akebi-chan_no_serafuku,545,copyright,False
akebi_komichi,352,character,False
akebono_(kancolle),5755,character,False
akebono_kai_ni_(kancolle),138,character,False
akehoshi_subaru,90,character,False
akemi_homura,23233,character,False
akemikun,1,general,False
aketa_mikoto,522,character,False
aki_minoriko,4872,character,False
aki_rosenthal,919,character,False
aki_rosenthal_(1st_costume),247,character,False
aki_shizuha,4311,character,False
akiba_monaka,155,artist,False
akigumo_(kancolle),2658,character,False
akiha_gongen_(housamo),75,character,False
akiha_tohno,1,general,False
akiha_tsukihime,1,general,False
akihare,50,artist,False
akima_akito,2,artist,False
akimoto_katherine_reiko,461,character,False
akino_(gokosei),41,artist,False
akino_shuu,536,artist,False
akipeko,59,artist,False
akira,855,copyright,False
akira_(blue_archive),395,character,False
akira_(nupekwa),16,artist,False
akira_ferrari,227,character,False
akiran_(r32),31,artist,False
akiravirtual,2,character,False
akisora,544,artist,False
akita_neru,738,character,False
akitsu_(sekirei),12,character,False
akitsu_maru_(kancolle),2366,character,False
akitsu_maru_kai_(kancolle),56,character,False
akitsu_taira,100,artist,False
akiyama_mio,11274,character,False
akiyama_mizuki,805,character,False
akiyama_rinko,2110,character,False
akizero1510,107,artist,False
akizora,8,artist,False
akizuki_noa,6,character,False
akizuki_ritsuko,2905,character,False
akkunz,11,general,False
ako_(blue_archive),1897,character,False
akuma_nihmune,100,character,False
al_aoi_aoba,88,artist,False
al_azif,459,character,False
al_guang,51,artist,False
alarm_clock,1976,general,False
albaz_(yu-gi-oh!),14,general,False
albedo_(genshin_impact),1642,character,False
albino,5718,general,False
album_cover,4154,general,False
album_cover_redraw,461,general,False
alchemy_stars,1753,copyright,False
alcohol,31367,general,False
alcohol_carton,176,general,False
alcryst_(fire_emblem),128,character,False
aldharoku,239,artist,False
alear_(female)_(fire_emblem),639,character,False
alear_(fire_emblem),809,character,False
alear_(male)_(fire_emblem),191,character,False
alechon,41,artist,False
aleriia_v,228,artist,False
aleuz91,114,artist,False
alex_(minecraft),228,character,False
alexander_(fate),380,character,False
alexmaster,421,artist,False
alfa_(alpharig),29,artist,False
alfatyomo,2,general,False
alfred_(fire_emblem),83,character,False
